05:34:15.840 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.224,gaze_y:831.3
05:34:15.840 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.224,gaze_y:831.3
05:34:15.841 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.224,gaze_y:831.3
05:34:15.843 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.224,gaze_y:831.3
05:34:15.844 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.224,gaze_y:831.3
05:34:15.845 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.368,gaze_y:843.54
05:34:15.846 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.368,gaze_y:843.54
05:34:15.848 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.368,gaze_y:843.54
05:34:15.849 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.368,gaze_y:843.54
05:34:15.850 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.368,gaze_y:843.54
05:34:15.852 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.368,gaze_y:843.54
05:34:15.852 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.368,gaze_y:843.54
05:34:15.853 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.368,gaze_y:843.54
05:34:15.855 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.368,gaze_y:843.54
05:34:15.855 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.368,gaze_y:843.54
05:34:15.856 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.368,gaze_y:843.54
05:34:15.858 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.368,gaze_y:843.54
05:34:15.859 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.368,gaze_y:843.54
05:34:15.861 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.368,gaze_y:843.54
05:34:15.861 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:154.368,gaze_y:843.54
05:34:15.862 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:136.224,gaze_y:859.29
05:34:15.863 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:136.224,gaze_y:859.29
05:34:15.865 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:136.224,gaze_y:859.29
